	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
predicted_log_titer[3]	0.16379	0.11602	906.23327	1475.53227	1.00228
predicted_log_titer[4]	0.16436	0.11641	917.04768	1483.19181	1.00176
predicted_log_titer[5]	0.16256	0.11534	929.76911	1596.90941	1.00179
predicted_log_titer[6]	0.25446	0.18031	893.85058	1332.32361	1.00247
predicted_log_titer[7]	0.25423	0.18027	891.43403	1435.56606	1.00226
predicted_log_titer[8]	0.25366	0.17974	898.97994	1482.02739	1.00285
predicted_log_titer[9]	0.00271	0.00192	8042.75933	3236.09329	1.00059
predicted_log_titer[10]	0.00507	0.0037	7375.18468	3154.1852	1.00114
predicted_log_titer[11]	0.003	0.00212	6903.10679	3362.10812	0.9995
predicted_log_titer[12]	0.003	0.00212	7999.1085	2952.3368	1.00076
predicted_log_titer[13]	0.00304	0.00215	6564.06953	3189.31006	1.00177
predicted_log_titer[14]	0.0029	0.00205	7266.75218	3503.97054	0.99967
predicted_log_titer[15]	0.34376	0.24348	892.67931	1447.42111	1.00269
predicted_log_titer[16]	0.34505	0.2444	885.33842	1454.39567	1.0025
predicted_log_titer[17]	0.34404	0.24365	886.4086	1393.44365	1.00259
predicted_log_titer[18]	0.0207	0.01535	2156.33618	2488.19933	1.00241
predicted_log_titer[19]	0.02079	0.01636	2160.41046	2341.8881	1.00012
predicted_log_titer[20]	0.02003	0.01457	2298.51331	2514.80894	1.00012
predicted_log_titer[21]	0.52331	0.37059	889.28173	1448.71464	1.00263
predicted_log_titer[22]	0.52622	0.37281	880.40416	1405.47637	1.00299
predicted_log_titer[23]	0.52416	0.3712	887.24861	1422.3352	1.00284
predicted_log_titer[24]	0.03939	0.0279	1262.78512	1862.45964	1.00143
predicted_log_titer[25]	0.03837	0.02748	1294.98017	1784.59631	1.00119
predicted_log_titer[26]	0.03877	0.02778	1330.31334	2020.7694	1.00068
predicted_log_titer[27]	0.00317	0.00224	8341.26973	3608.97332	1.00044
predicted_log_titer[28]	0.00272	0.00192	8692.21911	3060.30927	0.99987
predicted_log_titer[29]	0.00299	0.00211	7787.91572	3125.04413	1.00066
predicted_log_titer[30]	0.07525	0.05322	992.00604	1748.11326	1.00143
predicted_log_titer[31]	0.07319	0.05193	1030.94023	1653.94899	1.0028
predicted_log_titer[32]	0.07488	0.05296	983.72977	1522.62258	1.00195
predicted_log_titer[33]	0.11923	0.08449	936.11009	1462.3979	1.00202
predicted_log_titer[34]	0.11921	0.08448	935.94098	1392.16907	1.0023
predicted_log_titer[35]	0.12067	0.08553	933.86795	1414.49173	1.0018
