	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
log_titer_intercept_decentered[30]	0.01556	0.01412	4122.84972	3363.03554	1.00037
log_titer_intercept_decentered[31]	0.01482	0.01641	4363.62111	3188.34368	1.00134
log_titer_intercept_decentered[32]	0.01609	0.0154	3843.88461	2921.77383	1.00005
log_titer_intercept_decentered[33]	0.01603	0.01532	4137.49414	3094.53399	1.00006
log_titer_intercept_decentered[34]	0.01446	0.01492	4759.13141	3322.11623	1.00169
log_titer_intercept_decentered[35]	0.01576	0.0161	4108.593	2967.00225	1.00062
log_titer_intercept_loc[0]	0.01873	0.01329	772.76404	1334.26816	1.00603
log_titer_intercept_scale[0]	0.0028	0.00198	1731.20277	2545.14672	1.00242
predicted_log_titer[0]	0.00448	0.00317	6541.78169	2938.22103	1.00072
predicted_log_titer[1]	0.00338	0.00239	6770.39552	2976.17925	1.00188
predicted_log_titer[2]	0.01035	0.00918	4018.254	2825.76479	1.00061
predicted_log_titer[3]	0.1641	0.11662	882.85165	1483.87941	1.00192
predicted_log_titer[4]	0.16537	0.11748	885.11409	1415.84965	1.00264
predicted_log_titer[5]	0.16393	0.11666	897.10481	1436.7461	1.00233
predicted_log_titer[6]	0.25639	0.18224	861.0814	1376.67321	1.00252
predicted_log_titer[7]	0.25533	0.18169	862.24991	1354.17659	1.00234
predicted_log_titer[8]	0.25405	0.18056	873.42819	1461.29152	1.00269
predicted_log_titer[9]	0.00273	0.00193	7781.29223	3477.71045	1.00141
predicted_log_titer[10]	0.00543	0.00384	6273.5354	3028.60214	0.9995
predicted_log_titer[11]	0.00297	0.0021	7154.29413	3085.95767	0.99973
predicted_log_titer[12]	0.00308	0.00218	7546.54401	2930.95478	0.99999
predicted_log_titer[13]	0.00291	0.00206	7369.92236	3177.75903	1.00092
predicted_log_titer[14]	0.00309	0.00218	6499.70294	3628.04663	0.99971
predicted_log_titer[15]	0.34515	0.24532	863.51901	1356.65823	1.00253
predicted_log_titer[16]	0.3463	0.24615	859.64806	1329.29588	1.0026
predicted_log_titer[17]	0.34664	0.24648	854.64178	1440.89628	1.00251
predicted_log_titer[18]	0.02088	0.01535	2145.23698	2585.12998	1.00239
predicted_log_titer[19]	0.02141	0.01661	2043.3466	2272.34491	1.00089
predicted_log_titer[20]	0.02084	0.01529	2150.73633	2386.21053	1.00051
predicted_log_titer[21]	0.52727	0.37474	856.70932	1419.36728	1.00256
predicted_log_titer[22]	0.52936	0.37635	851.9536	1432.33093	1.00268
predicted_log_titer[23]	0.52711	0.37474	857.8186	1370.59278	1.00256
predicted_log_titer[24]	0.03882	0.02746	1306.27816	1999.65132	1.00208
predicted_log_titer[25]	0.03882	0.02766	1245.16976	1928.20294	1.00113
predicted_log_titer[26]	0.03989	0.02868	1235.98533	1956.78276	1.00137
predicted_log_titer[27]	0.00322	0.00228	8211.31203	3306.06735	1.00088
predicted_log_titer[28]	0.00284	0.00201	8074.77946	3715.48933	1.00046
predicted_log_titer[29]	0.00322	0.00228	6652.01615	2863.33739	0.99999
predicted_log_titer[30]	0.07608	0.05417	954.26879	1497.36385	1.00206
predicted_log_titer[31]	0.07347	0.0524	994.01865	1543.67007	1.00359
predicted_log_titer[32]	0.07557	0.05372	951.20162	1540.82695	1.00184
predicted_log_titer[33]	0.1201	0.08544	908.08056	1431.32327	1.00232
predicted_log_titer[34]	0.1195	0.08502	902.71788	1451.06773	1.00227
predicted_log_titer[35]	0.12029	0.08551	913.30332	1419.45307	1.00226
